RES 0,E:2|CB83
RES 1,E:2|CB8B
RES 2,E:2|CB93
RES 3,E:2|CB9B
RES 4,E:2|CBA3
RES 5,E:2|CBAB
RES 6,E:2|CBB3
RES 7,E:2|CBBB
RES 0,H:2|CB84
RES 1,H:2|CB8C
RES 2,H:2|CB94
RES 3,H:2|CB9C
RES 4,H:2|CBA4
RES 5,H:2|CBAC
RES 6,H:2|CBB4
RES 7,H:2|CBBC
RES 0,L:2|CB85
RES 1,L:2|CB8D
RES 2,L:2|CB95
RES 3,L:2|CB9D
RES 4,L:2|CBA5
RES 5,L:2|CBAD
RES 6,L:2|CBB5
RES 7,L:2|CBBD
RES 0,A:2|CB87
RES 1,A:2|CB8F
RES 2,A:2|CB97
RES 3,A:2|CB9F
RES 4,A:2|CBA7
RES 5,A:2|CBAF
RES 6,A:2|CBB7
RES 7,A:2|CBBF
RES 0,(HL):2|CB86
RES 1,(HL):2|CB8E
RES 2,(HL):2|CB96
RES 3,(HL):2|CB9E
RES 4,(HL):2|CBA6
RES 5,(HL):2|CBAE
RES 6,(HL):2|CBB6
RES 7,(HL):2|CBBE
RES 0,(IX+V):4|DDCBV86
RES 1,(IX+V):4|DDCBV8E
RES 2,(IX+V):4|DDCBV96
RES 3,(IX+V):4|DDCBV9E
RES 4,(IX+V):4|DDCBVA6
RES 5,(IX+V):4|DDCBVAE
RES 6,(IX+V):4|DDCBVB6
RES 7,(IX+V):4|DDCBVBE
RES 0,(IY+V):4|FDCBV86
RES 1,(IY+V):4|FDCBV8E
RES 2,(IY+V):4|FDCBV96
RES 3,(IY+V):4|FDCBV9E
RES 4,(IY+V):4|FDCBVA6
RES 5,(IY+V):4|FDCBVAE
RES 6,(IY+V):4|FDCBVB6
RES 7,(IY+V):4|FDCBVBE
JP WW:3|C3
JP NZ,WW:3|C2
JP Z,WW:3|CA
JP NC,WW:3|D2
JP C,WW:3|DA
JP PO,WW:3|E2
JP PE,WW:3|EA
JP P,WW:3|F2
JP M,WW:3|FA
JR W:2|18
JR C,W:2|38
JR NC,W:2|30
JR Z,W:2|28
JR NZ,W:2|20
JP (HL):1|E9
JP (IX):2|DDE9
JP (IY):2|FDE9
DJNZ,W:2|10
CALL WW:3|CD
CALL NZ,WW:3|C4
CALL Z,WW:3|CC
CALL NC,WW:3|D4
CALL C,WW:3|DC
CALL PO,WW:3|E4
CALL PE,WW:3|EC
CALL P,WW:3|F4
CALL M,WW:3|FC
RET:1|C9
RET NZ:1|C0
RET Z:1|C8
RET NC:1|D0
RET C:1|D8
RET PO:1|E0
RET PE:1|E8
RET P:1|F0
RET M:1|F8
RETI:2|ED4D
RETN:2|ED45
RST 00H:1|C7
RST 08H:1|CF
RST 10H:1|D7
RST 18H:1|DF
RST 20H:1|E7
RST 28H:1|EF
RST 30H:1|F7
RST 38H:1|FF
IN A,(W):2|DB
IN B,(C):2|ED40
IN C,(C):2|ED48
IN D,(C):2|ED50
IN E,(C):2|ED58
IN H,(C):2|ED60
IN L,(C):2|ED68
IN (HL),(C):2|ED70
IN A,(C):2|ED78
INI:2|EDA2
INIR:2|EDB2
IND:2|EDAA
INDR:2|EDBA
OUT (W),A:2|D3
OUT (C),B:2|ED41
OUT (C),C:2|ED49
OUT (C),D:2|ED51
OUT (C),E:2|ED59
OUT (C),H:2|ED61
OUT (C),L:2|ED69
OUT (C),A:2|ED79
OUTI:2|EDA3
OTIR:2|EDB3
OUTD:2|EDAB
OTDR:2|EDBB
